date,page/account,is_comment,text,binary label,explanation,comments,link,,קבוצות לבדוק בהן: 
24/09/2021,חיסוני קורונה ותופעות לוואי בזמן אמת,yes,"דום לב, התקפי לב ושבץ אינם תופעות לוואי של החיסון. לכל היותר אתה יכול להכריז כי לפי נתונים לא רשמיים שאספת לפחות 4,000 איש בישראל קבלו אירוע לב.",1,,לבדוק. מצרף מקור: https://www.cdc.gov/vaccinesafety/ensuringsafety/monitoring/vaers/index.html?fbclid=IwAR14WEYjsbFQ7HKyjvs3wlqSW4YNoApgd29IO1snrnXOstFOf65wRPBloLk,,,
19/09/2021,חיסוני קורונה ותופעות לוואי בזמן אמת,yes,"יש דחף ואינטרס כלכלי מצד גורמים עוינים לשנות את מספר המתים לטובת קורונה
וזה מוכח",0,,,,,
20/09/2021,חיסוני קורונה ותופעות לוואי בזמן אמת,yes,"220 אלף על כל אחד שנרשם שנפטר מקורונה. תראו מה הסיכויים להיפגע מהחיסון במדינה שאשכרה עוקבת אחרי הנזקים (ארה""ב), לא כמו בישראל שמטייחים וראש הממשלה משקר לגביהם. https://openvaers.com/covid-data יש שם טבלה שמראה על דיווחי מוות של אנשים בריאים בסמוך לחיסון. כל השנים זה על המינימום וב-2020/21 זה קופץ לשמיים... זה בגלל ה""חיסון"" לקורונה שעובד בשיטה שאף חיסון עד היום לא עבד בה, שיטה נסיונית שעד היום השתמשו בה רק על חיות וגם החיות מתו... אני לא ממציא, תחקרו קצת על mrna vaccines אבל אל תכנסו ללינקים הראשונים שממומנים על ידי חברות התרופות אם לא נפגעים אחרי שלוש זריקות אז הבוסטר הרביעי, חמישי יעשה זאת... ולמרות שאין מעקב מסודר בישראל, יש את הקבוצה הזאת https://www.facebook.com/groups/242682556373559/?ref=share אם מעניינת אתכם האמת... הכל עדויות מקור ראשון של הנפגעים עצמם או קרוביהם ויש בלא מעט מקרים גם תמונות",0,,בתגובה לשאלה כמה בתי חולים מקבלים על כל נפטר קורונה,,,
20/09/2021,חיסוני קורונה ותופעות לוואי בזמן אמת,yes,"ברור, 220 אלף על כל נפטר ""קורונהה""",,,"אולי ציני, בעייתי",,,
20/09/2021,חיסוני קורונה ותופעות לוואי בזמן אמת,yes,"שתפו לקרובים לכם על תופעות לוואי של החיסון, בבדיקת די-דימר שביצע ד""ר הופה במטופלים המחוסנים שלו זיהה באופן מטריד כי 62% מהם סובלים מקרישי דם מיקרוסקופיים. מה שזה אומר הוא: ‫שקרישי הדם הללו אינם נדירים. ‫זה אומר שלרוב האנשים נוצרים קרישי דם ‫‫ושאין להם אפילו מושג שיש להם אותם. מה שהמדאיג ביותר בנוגע לזה, ‫זה שיש כמה חלקים בגוף ‫כמו הלב, המוח, חוט השדרה והריאות שלא יכולים להתחדש. ‫כאשר הרקמות הללו ‫נפגעות מכלי דם חסומים ‫הם ניזוקים לצמיתות.",,,לבדוק. מקור: https://healthybreathing.co.il/blood-clots/,,,
20/09/2021,חיסוני קורונה ותופעות לוואי בזמן אמת,yes,יולדת זה בערך 10 אלף והיא יוצאת חיה + אז על מת ממגפה דמיונית בטח יותר,0,,,,,
19/09/2021,חיסוני קורונה ותופעות לוואי בזמן אמת,yes,חחחחח הם לא ירגעו עד שירעילו את כולכם על איזה תו אתה מדבר,0,,,,,
29/08/2021,חיסוני קורונה ותופעות לוואי בזמן אמת,yes,זה אותו החיסון בדיוק כמו הראשון. כך שכולם משקרים!!!,,,"תיקנו ""מעקרים"" ל""משקרים"". לבדוק אם מדובר בדיוק באותו החיסון",https://www.facebook.com/groups/421434465970824/permalink/557891532325116/,,
05/09/2021,חיסוני קורונה ותופעות לוואי בזמן אמת,yes,"ד""ר שון ברוקס הוא פותח ואומר כי ‫ד""ר רוברט מאלון זה שיצר את ‫חיסון שליח ה-RNA אמר: ש‫אף אחד לא צריך לקחת ‫את הזריקות הללו אי-פעם, ‫בכל מצב שהוא. עוד אמר ד""ר מאלון כי לעולם אל תעשו זאת! שתפו והעבירו ברשת -",,,מקור: https://bit.ly/3AZr4oY,https://www.facebook.com/groups/421434465970824/permalink/557891532325116/,,
05/09/2021,חיסוני קורונה ותופעות לוואי בזמן אמת,yes,נכון לעכשיו ידוע יותר על פגיעות בעוברים של נשים הרות שחלו בקורונה ולא היו מחוסנות. עד למקרה קיצוני שהיה השבוע מות עובר בחודש התשיעי ברחמה של חולת קורונה,1,,לבדוק,https://www.facebook.com/groups/421434465970824/permalink/557891532325116/,,
06/09/2021,חיסוני קורונה ותופעות לוואי בזמן אמת,yes,כשיש נימלול לאחר חיסון מעיד על תופעת לוואי שקורית מקרישיות בדם,,,מקור: https://bit.ly/3ADjIID,https://www.facebook.com/groups/421434465970824/permalink/567997074647895/,,
05/09/2021,חיסוני קורונה ותופעות לוואי בזמן אמת,yes,"משרד הבריאות לא רוצים לעורר בהלה ולגרום לאנשים להמנע מלהתחסן, ולכן מסתירים את נזקי החיסון לאוכלוסיות רבות באוכלוסייה כמו חולי לב,בעלי מערכת חיסון חלשה ומחלות גנטיות רדומות, שהחיסון עבורם עלול להיות קטלני, ולעורר מחלות רדומות וקטלניות.",1,"לא ידוע בוודאות אם משרד הבריאות מסתיר, אבל הפוסט נכון מבחינה של אוכלוסיות שהחיסון עלול להזיק להן, ומשרד הבריאות הפיץ רשימה של האוכלוסיות הללו.",,https://www.facebook.com/groups/421434465970824/permalink/561627551951514/,,
05/09/2021,חיסוני קורונה ותופעות לוואי בזמן אמת,yes,לפני החיסון הראשון היתה החרגה של כל סוג של אלרגיה המצריכה שימוש המזרק אפיפן. מאז זה שונה רק לאלרגיות לחומרים המצויים החיסון עצמו.,1,,"מקורות: https://www.cdc.gov/coronavirus/2019-ncov/vaccines/recommendations/specific-groups/allergies.html?fbclid=IwAR3nWA18JyZjov1P_MZ6JDTGeH5iqoDxxa1xWxUhGKa5ZCjPBFv1yXhv--Y
     https://www.clalit.co.il/he/your_health/family/Pages/who_cant_vaccinate.aspx?fbclid=IwAR2ngH9yUX5MAmrLBFf42dwuqBAFf8s4myOdBna6_zg7O83x6WgIKmYVdwc",https://www.facebook.com/groups/421434465970824/permalink/561627551951514/,,
11/09/2021,חיסוני קורונה ותופעות לוואי בזמן אמת,yes,"טינטון היא תופעת לוואי אפשרית של החיסון, זו הסיבה שאני לא מתחסן.",0,,,https://www.facebook.com/groups/421434465970824/permalink/571424844305118/,,
12/09/2021,חיסוני קורונה ותופעות לוואי בזמן אמת,yes,"אל דאגה, התופעה ידועה ומוכרת... כ15 אחוז מהמתחסנים מתחדשים בנפיחות בלימפות. שלושה עד שבעה ימים זה יחלןף",0,,,https://www.facebook.com/groups/421434465970824/permalink/571009401013329/,,
12/09/2021,חיסוני קורונה ותופעות לוואי בזמן אמת,yes,חבל כל חיסון מגביר את הסיכוי להידבק עוד הפעם,0,,,https://www.facebook.com/groups/421434465970824/permalink/570220344425568/,,
12/09/2021,חיסוני קורונה ותופעות לוואי בזמן אמת,yes,"במקרה ונדבקת, החיסון אמור להגן עליך ממחלה קשה. הוא לא אמור למנוע ממך להידבק או להדביק.",1,,,https://www.facebook.com/groups/421434465970824/permalink/570220344425568/,,
12/09/2021,חיסוני קורונה ותופעות לוואי בזמן אמת,yes,אל תתחסנו זה רעל איטי,0,,,https://www.facebook.com/groups/421434465970824/permalink/570220344425568/,,
12/09/2021,חיסוני קורונה ותופעות לוואי בזמן אמת,yes,"טוב גם המסכה עוזרת, אבל לא יותר מדי, ויש תופעות לווי קשות ממנה. אני שמחה שיש לי פטור. עדיין לא נדבקתי ולא הדבקתי למזלי. אין אף הוכחה מדעית שמסכה מונעת הדבקות. אני שומרת מרחק, משתדלת להיות במקומות עם חלונות פתוחים (חובה) ולשמור על בריאות ומערכת החיסון תקינים ככל שאפשר. זה באמת מונע הכי טוב",0,"הוכחה מדעית - 
https://davidson.weizmann.ac.il/online/askexpert/%D7%94%D7%90%D7%9D-%D7%9E%D7%A1%D7%9B%D7%95%D7%AA-%D7%94%D7%A4%D7%A0%D7%99%D7%9D-%D7%9E%D7%92%D7%99%D7%A0%D7%95%D7%AA-%D7%9E%D7%A0%D7%92%D7%99%D7%A3-%D7%94%D7%A7%D7%95%D7%A8%D7%95%D7%A0%D7%94",לבדוק,https://www.facebook.com/groups/421434465970824/permalink/570220344425568/,,
12/09/2021,חיסוני קורונה ותופעות לוואי בזמן אמת,yes,שתדעי שמעתי שיש גם סוגי דם שסוג מסוים לא נדבק וכאילו שיש קשר . צריך תזונה נכונה וויטמין די ועוד ...,0,,,https://www.facebook.com/groups/421434465970824/permalink/570220344425568/,,
12/09/2021,חיסוני קורונה ותופעות לוואי בזמן אמת,yes,"נדבקת לא למרות החיסונים אלא, בגלל ובעקבות החיסונים!! החיסונים עצמם מביאים את המחלה לאנשים בריאים. אותה ועוד שלל מחלות נוספות כתוספת לוואי",0,,,https://www.facebook.com/groups/421434465970824/permalink/570220344425568/,,
12/09/2021,חיסוני קורונה ותופעות לוואי בזמן אמת,yes,ברור שלא 2 לא עזרו השלישי יקלקל בכל מיקרה החיסונים לא שווים כלום ואת התופעות לוואי מסתירים,0,,,https://www.facebook.com/groups/421434465970824/permalink/570220344425568/,,
26/09/2021,וירוס קורונה - מדברים על הכל,yes,החלטת הfda אינה תופסת מחוץ לארצות הברית. כל מדינה יכולה להחליט כראות עיניה. גם בישראל יש מומחים מצויינים.,1,,,https://www.facebook.com/groups/503350980581730/permalink/889999248583566/,,
26/09/2021,וירוס קורונה - מדברים על הכל,yes,"ככלל אין מניעה לקבל את שני החיסונים יחד, אך משרד הבריאות החליט על הפרש של 7 ימים בין החיסונים, כדי שהצוותים הרפואיים יוכלו לעקוב אחר המתחסנים ולנטר תופעות לוואי.",0,שווה לבדוק בכל זאת עם מומחה,"לבדוק. מדובר על חיסון שפעת, אחרי קבלת החיסון השלישי",https://www.facebook.com/groups/503350980581730/permalink/889954121921412/,,
02/10,נפגעי חיסונים - גם לנו זה קרה (עדויות מצולמות),yes,"לשתות עלי מורינגה, מחזק מערכת החיסון ומלא ויטמינים במינון גבוה",0,"https://he.wikipedia.org/wiki/%D7%9E%D7%95%D7%A8%D7%99%D7%A0%D7%92%D7%94_%D7%9E%D7%9B%D7%95%D7%A0%D7%A4%D7%AA#%D7%A9%D7%99%D7%9E%D7%95%D7%A9%D7%99%D7%9D_%D7%91%D7%A8%D7%A4%D7%95%D7%90%D7%94_%D7%94%D7%A2%D7%9E%D7%9E%D7%99%D7%AA_%D7%95%D7%94%D7%97%D7%9C%D7%95%D7%A4%D7%99%D7%AA,_%D7%95%D7%91%D7%99%D7%A7%D7%95%D7%A8%D7%AA",,https://www.facebook.com/groups/242682556373559/permalink/888237565151385/,,
03/10/2021,נפגעי חיסונים - גם לנו זה קרה (עדויות מצולמות),yes,החיסון הזה זו עבודת אלילים. ומי את שתטילי ספק באל החיסון?,0,,,https://www.facebook.com/groups/242682556373559/permalink/888577828450692/,,
02/10/2021,נפגעי חיסונים - גם לנו זה קרה (עדויות מצולמות),yes,"אם היתה לך תגובה בעייתית אחרי החיסון השני, יש סיכוי שתיפגע יותר אחרי השלישי.",,,חלק מתגובה,https://www.facebook.com/groups/242682556373559/permalink/888325031809305/,,
02/10/2021,נפגעי חיסונים - גם לנו זה קרה (עדויות מצולמות),yes,"אם אתה כן מחליט לקחת זריקה- חפש בשוק, יש מוצרים שיכולים להפחית משמעותית תופעות לוואי וכדאי לבדוק ולנסות למזער את הנזקים.",1,,חלק מאותה תגובה,https://www.facebook.com/groups/242682556373559/permalink/888325031809305/,,
02/10/2021,נפגעי חיסונים - גם לנו זה קרה (עדויות מצולמות),yes,ידוע לא מעט על פגיעה בבלוטת התריס ובלוטות הלימפה שליד מיד אחרי החיסון הראשון או השני,1,"בלוטת התריס לא - https://wikirefua.org.il/w/index.php/%D7%91%D7%9C%D7%95%D7%98%D7%AA_%D7%94%D7%AA%D7%A8%D7%99%D7%A1_%D7%95%D7%95%D7%99%D7%A8%D7%95%D7%A1_%D7%94%D7%A7%D7%95%D7%A8%D7%95%D7%A0%D7%94_-_Thyroid_disease_and_the_coronavirus
בלוטת הלימפה כן - 
https://www.haaretz.co.il/health/corona/coronavaccine/.premium-1.9589179",חלק מתגובה,https://www.facebook.com/groups/242682556373559/permalink/888325031809305/,,
02/10/2021,נפגעי חיסונים - גם לנו זה קרה (עדויות מצולמות),yes,"אתה תמות , חמוד, צר לי. תקח שלישי - תקרב עוד יותר את המוות, לא תקח - עוד כמה שנים יש לך (אולי).",0,,,https://www.facebook.com/groups/242682556373559/permalink/888325031809305/,,
03/10/2021,נפגעי חיסונים - גם לנו זה קרה (עדויות מצולמות),yes,"התו הירוק בקרוב יבוטל. ואתה תישאר עם תופעות לוואי עד סוף ימיך, אולי תהפוך לשבר כלי כמו רבים אחרים שזה קרה להם. תיקח נשימה עמוקה ותמתין. הבריאות זה המשאב בכי יקר שלך אל תזלזל בו.",0,,,https://www.facebook.com/groups/242682556373559/permalink/888325031809305/,,
02/10/2021,נפגעי חיסונים - גם לנו זה קרה (עדויות מצולמות),yes,תתחסן ותהיה מוכן לתוצאות. אם חלילה הבלוטה מתנפחת יש צמחים לניקוי הלימפה. אם חלילה מדובר בגידול סרטני תנסה להשיג חומר שנקרא פנבנדזול fenbendazole מארהב ותקח אותו במיידית לתקופה רצופה של 3-6 חודשים. זה מונע התפתחות של תאים סרטנים ויגן על מערכת הלימפה. אם חלילה זה יקרה יהיה לך קל יותר לקבל אישור להמנע מהחיסונים הבאים אבל מאחלת לך שלא תצטרך מהסיבה הזאת,,,לבדוק,https://www.facebook.com/groups/242682556373559/permalink/888325031809305/,,
03/10/2021,נפגעי חיסונים - גם לנו זה קרה (עדויות מצולמות),yes,"לטיפול בתאים סרטניים (לא עלינו) תירס…. שן הארי, בורדוק (לפה), ברבריס, גדילן, דבקה זיפנית.",0,,שילוב של שתי תגובות של אותו אדם,https://www.facebook.com/groups/242682556373559/permalink/888325031809305/,,
03/10/2021,נפגעי חיסונים - גם לנו זה קרה (עדויות מצולמות),yes,"ממליצה לגשת להומיאופת קלאסי. להומיאופתיה יש הרבה ניסיון טיפולי בנזקי חיסונים. אתה מוזמן להיכנס לאתר האגודה ולמצוא הומיאופת לפי איזור מגוריך. https://www.homeopathy-israel.co.il/  אפשר גם לפנות לקו חם של הומיאופתים שמטפלים בנזקים אחרי חיסוני קורונה מאז ינואר 2021 ויש להם לא מעט ניסיון בזה , דרך הקישור הזה: https://homeohelp.co.il/ בהצלחה! ",,,,https://www.facebook.com/groups/242682556373559/permalink/888325031809305/,,
03/10/2021,נפגעי חיסונים - גם לנו זה קרה (עדויות מצולמות),yes,ירידה קלה בחולים הקשים כי רובם מתו. עוד מעת לא יהיו חולים קשה,0,,,https://www.facebook.com/groups/242682556373559/permalink/888325031809305/,,
02/10/2021,נפגעי חיסונים - גם לנו זה קרה (עדויות מצולמות),yes,לעשות ניקוי רעלים אינטנסיבי אצל הומופאטית ושטית תה מחטי אורן ינקה את הזיהום,,,,https://www.facebook.com/groups/242682556373559/permalink/888325031809305/,,
03/10/2021,נפגעי חיסונים - גם לנו זה קרה (עדויות מצולמות),yes,הרי יש קבוצות רופאים שבמפורש אמרו שהחיסון הזה כנירא מעיר מחלות כרוניות . הבעיה היא לא בבולוטות שלך שצריך לטפל בהם הבעיה היא בחיסון שמעיר משהו כרוני,0,יש לבדוק עם מומחה,חלק מתגובה,https://www.facebook.com/groups/242682556373559/permalink/888325031809305/,,
03/10/2021,נפגעי חיסונים - גם לנו זה קרה (עדויות מצולמות),yes,לפי מה שאמר דניאל עשור החיסון מייצר קרישוני דם זעירים ואספקת הדם לאיבר מסויים בגוף נפגעת .. ברגע שהדם שמגיע לבלוטת הלימפה לא עושה את הפעולה של אספקת חמצן וניטור רעלים אז בשלב הראשון תהיה תופעה של נפיחות דלקתית ואז זה עלול להחמיר יותר אני לא אפרט כדי לא לתת לך רעיונות . אז התו הירוק יבוטל תוך חודש ... ומה שיישאר לך זה סיכון למחלה ,,,,https://www.facebook.com/groups/242682556373559/permalink/888325031809305/,,
02/10/2021,נפגעי חיסונים - גם לנו זה קרה (עדויות מצולמות),yes,"רשימת המרכיבים המלאה בחיסוני פייזר ובזריקת רעל אשר ניתנת בהוצאה להורג ( וואלה בריאות וויקיפדיה ) RNA מסנג'ר (mRNA) ששונה על ידי נוקלאוזיד המקודד את הגליקופרוטאין הדוקרני של SARS-CoV-2 (זה מה שגורם לזריקה לעבוד) ליפידים, או חומרים שומניים, כוללים:  (4-הידרוקסיבוטיל) אזאנדייל BIS (הקסאן-6,1-דייל) BIS (2-הקסילדקאנוט) - 0.43 מ""ג (שומן סינטטי, הציפוי של ה-mRNA) 2 פוליאתילן גליקול 2000 (חומר שנחשב לרוב אינרטי, כלומר לא אמור להפעיל תגובה חיסונית והוא רכיב שכיח בחיסונים), N,N- ditetradecylacetamide - מינון 0.5 מ""ג. דיסטרואיל-סנגליצרו-3-פוספוקולין, 0.09 מ""ג (סוג של פוספוליפיד) כולסטרול 0.2 מ""ג ** אשלגן כלורי 6 מ""ג ** אשלגן דיהידרוגני פוספט 0.36 מ""ג נתרן כלורי (מלח) 0.01 מ""ג דיסודיום מימן פוספט מיובש 0.07 מ""ג רשימת המרכיבים של ""זריקת רעל "" אשר ניתנת בהוצאות להורג: בזה אחר זה ניתנים שלושת הסמים בזריקה לתוך הווריד באופן איטי: תיופנטל סודיום (נתרן) (נקרא גם סודיום פנטוטל) - משמש להרגעה. סמי הרגעה גורמים לירידה בעירנות וההכרה של האדם עד כדי הרדמות. מחקרים הראו כי לעיתים הכמות המוזרקת ממרכיב כימי זה קטנה, ובמצב זה אינה גורמת לאיבוד הכרה, אלא למצב של ""עירפול"" בלבד בו הנידון למוות מודע לסביבתו ויכול להרגיש לחלוטין בקורה לו לרבות כאב חזק הנובע מצריבת כלי הדם בזמן ההזרקה.[דרוש מקור] למרות ערעורים רבים בנושא זה החליט בית המשפט העליון בארצות הברית על כך שההליך חוקי. פנקורוניום ברומידי - המשתק את מערכת השרירים ומערכת הנשימה. כשישנו מצב של רפיון השרירים, הנידון למוות אף אינו יכול לצעוק בקול רם. ** פוטסיום כלוריד (אשלגן כלורי)* - המפסיק את פעולת הלב, וכך גורם למוות. בדרך כלל גורמת זריקת רעל לשינוי גוון העיניים והעור לצהבהב ולעיתים אף להקאה. זמן ההוצאה להורג בזריקת הרעל נמשך בדרך כלל כשבע דקות, אך לעיתים יכול התהליך להמשך אף עד לשעתיים. לאחר ההכרזה על שעת מותו של הנידון למוות נשלחת גופתו לנתיחה שלאחר המוות אשלגן כלורי בחיסון של פייזר? הנה לכם התשובה מדוע יש כל כך הרבה מקרים של דום לב ומיוקרדיטיס. בהצלחה לכולם","","ארוך מדי, עושה בעיות",,https://www.facebook.com/groups/242682556373559/permalink/888298415145300/,,
